Chromosome	Arm	Segment_ID	Start	End	Midpoint	n_bins	segment_bp	C6_1806_PT	C7_1806_PT	C6C7_1806	expected_additive	residual	classification	is_informative	low_bin_count	C6_1806_PT__medratio	C7_1806_PT__medratio	C6C7_1806__medratio	min_distance_from_boundary	near_rounding_boundary	subclone_region_overlap	subclone_overlap_detail	C6_1806_PT__cn_cont	C7_1806_PT__cn_cont	C6C7_1806__cn_cont	expected_additive_cont	log2_residual
1	1p	1	1000001	2500000	1750000.5	3	1500000	3.0	3.0	6.0	6.0	0.0	match	False	False	1.5332800000000002	1.40534	1.40851	0.1669568022477277	False	False		3.0719695385170867	2.822846854775759	5.666956802247728	5.894816393292846	-0.05234419663705323
1	1p	2	2500001	3000000	2750000.5	1	500000	4.0	3.0	6.0	7.0	-1.0	under	True	True	2.14148	1.40534	1.40851	0.1669568022477277	False	False		4.290515318365576	2.822846854775759	5.666956802247728	7.113362173141335	-0.3039749691914218
1	1p	3	3000001	15500000	9250000.5	25	12500000	3.0	3.0	6.0	6.0	0.0	match	False	False	1.4841299999999997	1.4053400000000003	1.40851	0.1669568022477277	False	False		2.9734961332563934	2.8228468547757593	5.666956802247728	5.796342988032153	-0.029955391905946337
1	1p	4	15500001	16500000	16000000.5	2	1000000	2.0	3.0	6.0	5.0	1.0	over	True	True	1.05715	1.40534	1.40851	0.1669568022477277	False	False		2.1180297125400043	2.822846854775759	5.666956802247728	4.9408765673157635	0.1807196411538299
1	1p	5	16500001	17000000	16750000.5	1	500000	5.0	3.0	9.0	8.0	1.0	over	True	True	2.26103	1.40534	2.28455	0.03003710064260101	True	False		4.530037100642601	2.822846854775759	9.191589809497303	7.35288395541836	0.30351076682038336
1	1p	6	17000001	23000000	20000000.5	12	6000000	2.0	2.0	4.0	4.0	0.0	match	False	False	1.0282800000000003	0.998835	1.01521	0.4154345974044089	False	False		2.060187856794813	2.006317501949667	4.084565402595591	4.06650535874448	0.00569445264035623
1	1p	7	23000001	24500000	23750000.5	3	1500000	3.0	2.0	4.0	5.0	-1.0	under	True	False	1.55209	0.998835	1.01521	0.3903440982488622	False	False		3.109655901751138	2.006317501949667	4.084565402595591	5.115973403700805	-0.2927511243833996
1	1p	8	24500001	121500000	73000000.5	192	96000000	2.0	2.0	4.0	4.0	0.0	match	False	False	1.0059091093750003	0.9988349999999998	1.01521	0.4154345974044089	False	False		2.0153671491944416	2.0063175019496664	4.084565402595591	4.021684651144108	0.019924598965832506
1	1q	9	144000001	173000000	158500000.5	56	28000000	2.0	2.0	5.0	4.0	1.0	over	False	False	1.0014400000000003	1.0065100000000002	1.2646499999999998	0.41184519814372056	False	False		2.006413163057336	2.0217339489378725	5.088154801856279	4.028147111995208	0.3034511568249821
1	1q	10	173000001	232000000	202500000.5	117	58500000	3.0	3.0	7.0	6.0	1.0	over	False	False	1.5449699999999997	1.5085799999999996	1.7775364102564106	0.3483134295492576	False	False		3.0953907818028945	3.03022066416498	7.151686570450742	6.125611445967874	0.2077241788735531
1	1q	11	232000001	232500000	232250000.5	1	500000	2.0	3.0	7.0	5.0	2.0	over	True	True	1.03407	1.50858	1.67065	0.22164299981907654	False	False		2.0717882843931728	3.0302206641649807	6.7216429998190765	5.1020089485581535	0.3663828148158369
1	1q	12	232500001	248500000	240500000.5	31	15500000	3.0	3.0	7.0	6.0	1.0	over	False	False	1.4731799999999997	1.5085800000000005	1.6706500000000004	0.2216429998190783	False	False		2.951557500751722	3.0302206641649816	6.721642999819078	5.981778164916704	0.1559374566647591
2	2p	1	1	15000000	7500000.5	24	12000000	2.0	2.0	4.0	4.0	0.0	match	False	False	0.940816	0.9043579999999999	0.923023	0.21366299740939354	False	False		1.8849512765766794	1.8165455590044368	3.7136629974093935	3.701496835581116	0.0041715365872117645
2	2p	2	15000001	25500000	20250000.5	20	10000000	1.0	1.0	2.0	2.0	0.0	match	False	False	0.48629599999999995	0.497726	0.48786199999999996	0.4628493084594223	False	False		0.9743076924649803	0.9997611066646643	1.9628493084594223	1.9740687991296446	-0.0065572614589457625
2	2p	3	25500001	26000000	25750000.5	1	500000	2.0	1.0	5.0	3.0	2.0	over	True	True	1.12377	0.497726	1.1463	0.11198896878017983	True	False		2.2515047534040398	0.9997611066646643	4.61198896878018	3.2512658600687043	0.4465072096379195
2	2p	4	26000001	27500000	26750000.5	3	1500000	5.0	5.0	11.0	10.0	1.0	over	False	False	2.63795	2.5681	2.69164	0.21479309445688433	False	False		5.285206905543116	5.158433551844839	10.829463480700936	10.443640457387954	0.04998680457412005
2	2p	5	27500001	28000000	27750000.5	1	500000	6.0	7.0	13.0	13.0	0.0	match	True	True	3.20786	3.26567	3.30308	0.05961282553371561	True	False		6.427037595108148	6.559612825533716	13.28951280031269	12.986650420641864	0.03203940433660566
2	2p	6	28000001	29000000	28500000.5	2	1000000	5.0	5.0	12.0	10.0	2.0	over	False	True	2.54296	2.4489	2.91898	0.24413640416118731	False	False		5.094891772975196	4.919001567350503	11.744136404161187	10.0138933403257	0.2197940177446002
2	2p	7	29000001	36000000	32500000.5	12	6000000	5.0	5.0	10.0	10.0	0.0	match	False	False	2.4218266666666666	2.4489000000000005	2.4344299999999994	0.29461249696199054	False	False		4.852197737900692	4.919001567350504	9.79461249696199	9.771199305251196	0.003284879827781218
2	2p	8	36500001	38500000	37500000.5	4	2000000	5.0	4.0	10.0	9.0	1.0	over	True	False	2.25224	2.03003	2.43443	0.012426088796385848	True	False		4.512426088796386	4.0776351634483	9.794612496961992	8.590061252244686	0.1795276050281286
2	2p	9	38500001	43500000	41000000.5	10	5000000	4.0	4.0	8.0	8.0	0.0	match	False	False	1.985	2.03003	2.0807399999999996	0.12841321914013015	True	False		3.9770032439974545	4.0776351634483	8.37158678085987	8.054638407445754	0.05248529417012706
2	2p	10	43500001	74500000	59000000.5	60	30000000	3.0	3.0	6.0	6.0	0.0	match	False	False	1.5427799999999998	1.5327800000000003	1.5304200000000001	0.3425541676694035	False	False		3.0910030553019605	3.0788301777955427	6.1574458323305965	6.169833233097503	-0.002681904793119984
2	2p	11	74500001	75000000	74750000.5	1	500000	2.0	2.0	6.0	4.0	2.0	over	False	True	0.909506	0.888534	1.53042	0.28476056133129646	False	False		1.8222208123098986	1.7847605613312965	6.157445832330596	3.606981373641195	0.6968903808449654
