Chromosome	Arm	Segment_ID	Start	End	Midpoint	n_bins	segment_bp	C5_231_PT	C3_231_PT	C5C3_231	expected_additive	residual	classification	is_informative	low_bin_count	C5_231_PT__medratio	C3_231_PT__medratio	C5C3_231__medratio	min_distance_from_boundary	near_rounding_boundary	subclone_region_overlap	subclone_overlap_detail	C5_231_PT__cn_cont	C3_231_PT__cn_cont	C5C3_231__cn_cont	expected_additive_cont	log2_residual
1	1p	1	1000001	72000000	36500000.5	142	71000000	2.0	2.0	4.0	4.0	0.0	match	False	False	0.678538	0.6723259999999999	0.647841	0.3959766518345691	False	False		2.0226716548469494	2.0172627263754803	3.895976651834569	4.03993438122243	-0.046487721626296497
1	1p	2	72000001	72500000	72250000.5	1	500000	4.0	4.0	9.0	8.0	1.0	over	False	True	1.29743	1.29818	1.56744	0.07375244365272238	True	False		3.8675429897044498	3.8950897721137085	9.426247556347278	7.762632761818159	0.26464688762543537
1	1p	3	72500001	74000000	73250000.5	3	1500000	5.0	5.0	9.0	10.0	-1.0	under	False	False	1.7126	1.6760600000000003	1.5674400000000002	0.0737524436527206	True	False		5.10513409137128	5.028889802222268	9.42624755634728	10.134023893593547	-0.09936727273871027
1	1p	4	74000001	74500000	74250000.5	1	500000	5.0	6.0	12.0	11.0	1.0	over	True	True	1.7126	2.01009	1.99376	0.39486590862872006	False	False		5.10513409137128	6.0311212620962	11.990044485238956	11.13625535346748	0.10215175401252324
1	1p	5	74500001	80500000	77500000.5	12	6000000	6.0	6.0	12.0	12.0	0.0	match	False	False	2.04176	2.0100899999999995	1.9937600000000006	0.4136642634601042	False	False		6.086335736539896	6.031121262096198	11.99004448523896	12.117456998636094	-0.014642554479489572
1	1p	6	80500001	93000000	86750000.5	24	12000000	4.0	4.0	8.0	8.0	0.0	match	False	False	1.33775	1.32091	1.31371	0.40036982420314704	False	False		3.9877339312927305	3.963289398144109	7.900369824203147	7.95102332943684	-0.008673203483440093
1	1p	7	93000001	96500000	94750000.5	7	3500000	3.0	3.0	6.0	6.0	0.0	match	False	False	1.05145	1.0408	1.0337499999999997	0.28324949511688136	False	False		3.134294780084277	3.1228407730946	6.216750504883119	6.257135553178877	-0.008648356253819819
1	1p	8	96500001	102000000	99250000.5	11	5500000	4.0	4.0	8.0	8.0	0.0	match	False	False	1.375	1.3614499999999998	1.37016	0.26015199828715296	False	False		4.09877342965988	4.084926566611879	8.239848001712847	8.18369999627176	0.009298304733348674
1	1p	9	102000001	121500000	111750000.5	38	19000000	3.0	3.0	6.0	6.0	0.0	match	False	False	1.0173399999999995	1.0113100000000002	0.9949489999999998	0.4656417157587427	False	False		3.032615389767404	3.0343582842412573	5.983409623296691	6.066973674008661	-0.01847594610881453
1	1q	10	144000001	169500000	156750000.5	49	24500000	3.0	3.0	6.0	6.0	0.0	match	False	False	1.02466	1.0146999999999997	1.0027100000000002	0.44556423095615116	False	False		3.054435769043849	3.044529719887673	6.030082610642181	6.098965488931522	-0.015138629703508308
