Chromosome	Arm	Segment_ID	Start	End	Midpoint	n_bins	segment_bp	C1_231_PT	C4_231_PT	C1C4_231	expected_additive	residual	classification	is_informative	low_bin_count	C1_231_PT__medratio	C4_231_PT__medratio	C1C4_231__medratio	min_distance_from_boundary	near_rounding_boundary	subclone_region_overlap	subclone_overlap_detail	C1_231_PT__cn_cont	C4_231_PT__cn_cont	C1C4_231__cn_cont	expected_additive_cont	log2_residual
1	1p	1	1000001	3000000	2000000.5	4	2000000	2.0	2.0	5.0	4.0	1.0	over	False	False	0.673634	0.672254	0.794396	0.2676508386973442	False	False		2.024775336597394	2.015990471354341	4.767650838697344	4.040765807951734	0.21422409004151333
1	1p	2	3000001	16500000	9750000.5	27	13500000	2.0	2.0	4.0	4.0	0.0	match	False	False	0.673634	0.6722539999999998	0.6659970000000001	0.47522466340260605	False	False		2.024775336597394	2.01599047135434	3.997050785275751	4.040765807951734	-0.01395645455229583
1	1p	3	16500001	17000000	16750000.5	1	500000	2.0	3.0	7.0	5.0	2.0	over	True	True	0.673634	1.08706	1.10428	0.12745213741849515	True	False		2.024775336597394	3.2599324091644664	6.627452137418495	5.28470774576186	0.30114237262003163
1	1p	4	17000001	72000000	44500000.5	110	55000000	2.0	2.0	4.0	4.0	0.0	match	False	False	0.6736340000000004	0.6747009999999999	0.6775250000000002	0.4337627147059919	False	False		2.0247753365973953	2.0233286629953033	4.066237285294008	4.048103999592699	0.005740587291085524
1	1p	5	72000001	72500000	72250000.5	1	500000	4.0	4.0	8.0	8.0	0.0	match	False	True	1.31856	1.26805	1.33418	0.302694691591082	False	False		3.9632616047050178	3.802694691591082	8.007221078622276	7.7659562962961	0.04150621022500013
1	1p	6	72500001	74000000	73250000.5	3	1500000	5.0	5.0	10.0	10.0	0.0	match	False	False	1.71936	1.68474	1.68929	0.3320338303409631	False	False		5.167966169659037	5.0522864671828085	10.138450955572582	10.220252636841845	-0.011050807125732745
1	1p	7	74000001	80500000	77250000.5	13	6500000	6.0	6.0	12.0	12.0	0.0	match	False	False	2.02233	2.0600400000000003	2.043030000000001	0.23854136603930698	False	False		6.078618220667319	6.17775574501423	12.261458633960693	12.256373965681549	0.0005749411341521183
1	1p	8	80500001	82000000	81250000.5	3	1500000	4.0	4.0	8.0	8.0	0.0	match	False	False	1.34648	1.38213	1.3659	0.30240801744129975	False	False		4.047182142263691	4.144803764905787	8.1975919825587	8.191985907169478	0.000930195947752003
1	1p	9	82000001	82500000	82250000.5	1	500000	4.0	4.0	6.0	8.0	-2.0	under	False	True	1.34648	1.38213	0.957508	0.2465845991916078	False	False		4.047182142263691	4.144803764905787	5.746584599191608	8.191985907169478	-0.47661824219854976
1	1p	10	82500001	85000000	83750000.5	5	2500000	4.0	4.0	8.0	8.0	0.0	match	False	False	1.34648	1.38213	1.36308	0.3193325429488869	False	False		4.047182142263691	4.144803764905787	8.180667457051113	8.191985907169478	-0.0018798595498735011
1	1p	11	85000001	87000000	86000000.5	4	2000000	4.0	3.0	6.0	7.0	-1.0	under	True	False	1.34648	1.06441	1.08134	0.010224676462386562	True	False		4.047182142263691	3.192008403987591	6.489775323537613	7.239190546251281	-0.14693659763431882
1	1p	12	87000001	92500000	89750000.5	10	5000000	4.0	4.0	8.0	8.0	0.0	match	False	False	1.34648	1.35966	1.3444699999999998	0.4225804468524652	False	False		4.047182142263691	4.077419553147535	8.068977591910606	8.124601695411226	-0.009334751874969297
1	1p	13	92500001	93000000	92750000.5	1	500000	4.0	3.0	7.0	7.0	0.0	match	True	True	1.34648	1.05374	1.09282	0.05867374652595281	True	False		4.047182142263691	3.160010649672479	6.558673746525953	7.20719279193617	-0.12680833863618485
1	1p	14	93000001	96500000	94750000.5	7	3500000	3.0	3.0	7.0	6.0	1.0	over	False	False	1.04722	1.0537399999999997	1.09282	0.05867374652595281	True	False		3.147681423431007	3.1600106496724782	6.558673746525953	6.307692073103485	0.05223135891041737
1	1p	15	96500001	102000000	99250000.5	11	5500000	4.0	4.0	8.0	8.0	0.0	match	False	False	1.36782	1.4034499999999999	1.3963300000000003	0.11977918368387641	True	True	parent_b:C4_231_PT,CN=4,loss,pop=0.1045	4.11132484539772	4.208739296489495	8.380220816316124	8.320064141887215	0.009806403708678775
1	1p	16	102000001	120500000	111250000.5	36	18000000	3.0	3.0	6.0	6.0	0.0	match	False	False	1.0224199999999997	1.0306100000000002	1.0328099999999998	0.3014825569174535	False	True	parent_b:C4_231_PT,CN=4,gain,pop=0.1045	3.07313882559952	3.0906471953792725	6.1985174430825465	6.163786020978792	0.0074997493367957215
1	1p	17	120500001	121000000	120750000.5	1	500000	3.0	3.0	4.0	6.0	-2.0	under	False	True	1.02242	1.03061	0.673861	0.409352804620728	False	True	parent_b:C4_231_PT,CN=4,gain,pop=0.1045	3.0731388255995213	3.090647195379272	4.044247405343722	6.163786020978794	-0.5523006929170196
1	1p	18	121000001	121500000	121250000.5	1	500000	3.0	3.0	6.0	6.0	0.0	match	False	True	1.02242	1.03061	1.00964	0.409352804620728	False	True	parent_b:C4_231_PT,CN=4,gain,pop=0.1045	3.0731388255995213	3.090647195379272	6.059460260099984	6.163786020978794	-0.022764966730392626
1	1q	19	144000001	169500000	156750000.5	49	24500000	3.0	3.0	6.0	6.0	0.0	match	False	False	1.0193500000000002	1.0144000000000002	1.01696	0.3966079928377644	False	False		3.0639111733679627	3.042035799179839	6.103392007162236	6.105946972547802	-0.0005580954418730456
1	1q	20	169500001	171500000	170500000.5	4	2000000	4.0	4.0	8.0	8.0	0.0	match	False	False	1.3227	1.28332	1.33755	0.3484871666043672	False	False		3.975705409343016	3.848487166604367	8.027446486764324	7.824192575947383	0.03480345488916705
